index,Date_time_local,DATETIME,PVT_IN_TO_DHW,PVT_OUT_FROM_DHW,PVT_IN_TO_SOLAR_BUFFER,PVT_OUT_FROM_SOLAR_BUFFER,SOLAR_BUFFER_IN,SOLAR_BUFFER_OUT,BTES_TANK_IN,BTES_TANK_OUT,SOLAR_HEAT_REJECTION_IN,SOLAR_HEAT_REJECTION_OUT,THREE_WAY_EVAP_OPERATION,THREE_WAY_COND_OPERATION,THREE_WAY_SOLAR_OPERATION,RECEIVER_LIQUID_IN,RECEIVER_LIQUID_OUT,ECO_LIQUID_OUT,SUCTION_TEMP,DISCHARGE_TEMP,ECO_VAPOR_TEMP,EXPANSION_TEMP,ECO_EXPANSION_TEMP,SUCTION_PRESSURE,DISCHARGE_PRESSURE,ECO_PRESSURE,AIR_COOLED_COMMAND,FOUR_WAY_VALVE,WATER_IN_EVAP,WATER_OUT_EVAP,WATER_IN_COND,WATER_OUT_COND,OUTDOOR_TEMP,BTES_TANK,SOLAR_BUFFER_TANK,SH_BUFFER,DHW_BUFFER,INDOOR_TEMP,DHW_INLET,DHW_OUTLET,SH1_IN,SH1_RETURN,DHW_BOTTOM,AIR_HP_TO_BTES_TANK,SH_INLET,SH_RETURN,PVT_IN,PVT_OUT,POWER_HP,POWER_PVT,FLOW_EVAPORATOR,FLOW_CONDENSER,FLOW_DHW,FLOW_SOLAR_HEAT_REJECTION,FLOW_PVT,FLOW_FAN_COILS_INDOOR,PYRANOMETER,Compressor_HZ,Residential_office_mode,MODBUS_LOCAL,EEV_LOAD1,EEV_LOAD2
200,2023-10-29 01:41:19,2023-10-28T22:41:19Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,31.0,False,True,22.2,23.8,28.0,28.7,17.1,21.4,18.4,23.5,34.1,23.1,24.8,29.7,22.0,21.0,,,18.7,20.7,18.7,18.0,0.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
201,2023-10-29 01:41:49,2023-10-28T22:41:49Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.8,28.0,28.7,17.0,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
202,2023-10-29 01:42:19,2023-10-28T22:42:19Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.8,28.0,28.7,17.0,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
203,2023-10-29 01:42:49,2023-10-28T22:42:49Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.8,28.0,28.7,17.0,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
204,2023-10-29 01:43:20,2023-10-28T22:43:19Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.2,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
205,2023-10-29 01:43:50,2023-10-28T22:43:50Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.2,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
206,2023-10-29 01:44:20,2023-10-28T22:44:20Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.1,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
207,2023-10-29 01:44:50,2023-10-28T22:44:50Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.0,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
208,2023-10-29 01:45:21,2023-10-28T22:45:20Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.2,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
209,2023-10-29 01:45:51,2023-10-28T22:45:51Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.2,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
210,2023-10-29 01:46:21,2023-10-28T22:46:21Z,27.2,28.8,18.7,18.4,18.8,18.5,19.2,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.0,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
211,2023-10-29 01:46:51,2023-10-28T22:46:51Z,27.2,28.8,18.7,18.4,18.8,18.5,19.1,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.1,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
212,2023-10-29 01:47:21,2023-10-28T22:47:21Z,27.2,28.8,18.7,18.4,18.8,18.5,19.1,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.0,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.076,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
213,2023-10-29 01:47:52,2023-10-28T22:47:51Z,27.2,28.8,18.7,18.4,18.8,18.5,19.1,21.1,,,True,False,True,,,,,,,,,,,,False,True,22.2,23.7,28.0,28.7,17.2,21.4,18.4,23.5,34.1,23.1,24.8,29.7,21.9,21.0,,,18.7,20.7,18.7,18.0,0.077,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,False,False,,
