DATETIME,AIR_COOLED_COMMAND,FOUR_WAY_VALVE,MODBUS_LOCAL,Residential_office_mode,THREE_WAY_COND_OPERATION,THREE_WAY_EVAP_OPERATION,THREE_WAY_SOLAR_OPERATION,BTES_TANK,BTES_TANK_IN,BTES_TANK_OUT,DHW_BUFFER,DHW_INLET,DHW_OUTLET,FLOW_CONDENSER,FLOW_DHW,FLOW_EVAPORATOR,FLOW_FAN_COILS_INDOOR,FLOW_PVT,INDOOR_TEMP,OUTDOOR_TEMP,POWER_HP,POWER_PVT,PVT_IN,PVT_IN_TO_DHW,PVT_IN_TO_SOLAR_BUFFER,PVT_OUT,PVT_OUT_FROM_DHW,PVT_OUT_FROM_SOLAR_BUFFER,PYRANOMETER,SH1_IN,SH1_RETURN,SH_BUFFER,SH_INLET,SH_RETURN,SOLAR_BUFFER_IN,SOLAR_BUFFER_OUT,SOLAR_BUFFER_TANK,WATER_IN_COND,WATER_IN_EVAP,WATER_OUT_COND,WATER_OUT_EVAP
2023-10-28 22:41:19+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.71,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.2,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.38
2023-10-28 22:41:49+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.7,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.38
2023-10-28 22:42:19+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.7,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.38
2023-10-28 22:42:49+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.7,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.38
2023-10-28 22:43:19+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.72,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:43:50+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.72,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:44:20+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.71,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:44:50+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.7,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:45:20+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.72,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:45:51+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.72,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:46:21+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.92,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.7,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:46:51+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.71,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:47:21+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.7,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:47:51+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.72,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:48:22+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.7,7.6e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.07,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:48:52+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.3,1.69,7.7e-05,0.0,1.87,2.72,1.87,1.8,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.06,1.88,1.85,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:49:22+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.3,1.71,7.7e-05,0.0,1.87,2.72,1.87,1.79,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.06,1.88,1.84,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:49:52+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.3,1.69,7.7e-05,0.0,1.87,2.72,1.87,1.79,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.06,1.88,1.84,1.84,2.8,2.22,2.87,2.37
2023-10-28 22:50:22+00:00,0.0,0.1,0.0,0.0,0.0,0.1,0.1,2.14,1.91,2.11,3.41,2.48,2.97,0.0,0.0,0.0,0.0,0.0,2.31,1.71,7.7e-05,0.0,1.87,2.72,1.87,1.79,2.88,1.84,0.0,2.19,2.1,2.35,1.87,2.06,1.88,1.84,1.84,2.8,2.22,2.87,2.37
